,游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数,开发游戏个数,isdata,score,Chinese,English,Japanese,Korean,heat,year,month,day,pay,system,containGames,gameversion
930,阿尔法中队2:遗落战境(含数据包),5.9,飞行游戏,中文,31℃,2015/7/16,1.03,完全免费,Martian Monkey Games,2.3以上,1941,1194,1,1,0,1,0,0,0,31,1,17,534,1,2.3,1,1 
931,铁路迷宫,,益智休闲,英文,31℃,2015/7/6,1.2.3,完全免费,Spooky House Studios,2.3以上,45,38,1,0,0,0,1,0,0,31,1,17,544,1,2.3,0,1 
932,奇幻射击,7.9,射击游戏,中文,31℃,2015/5/13,1,道具收费,北京第九星光文化传媒有限公司,2.3以上,1293,303,1,0,1,1,0,0,0,31,1,19,598,0,2.3,0,1
933,暗黑斩,,动作游戏,英文,31℃,2014/12/29,1.032,完全免费,veewo studio,3.0以上,150,161,2,0,0,0,1,0,0,31,2,24,733,1,3,0,1 
934,尘埃:越野赛车,,竞速游戏,英文,31℃,2014/11/24,1.4.5,完全免费,Catmoon Productions,3.2以上,79,37,1,0,0,0,1,0,0,31,2,25,768,1,3.2,0,1 
935,新纪元2(含数据包),8.1,射击游戏,中文,31℃,2014/9/28,1.3.3,完全免费,Uppercut Games,4.1以上,3694,918,1,1,1,1,0,0,0,31,2,27,825,1,4.1,1,1 
936,奥巴马VS普京修改版,7.8,动作游戏,中文,31℃,2014/6/5,01.01.02,完全免费,voolean,2.2以上,968,254,1,0,1,1,0,0,0,31,2,30,940,1,2.2,0,1 
937,踹飞大胡子,7.9,益智休闲,"英文, 中文, 韩文, 日文",31℃,2014/5/12,1.3.817,完全免费,Phase Two Games,4.0.3以上,627,64,1,0,1,1,1,1,1,31,2,31,964,1,4.03,1,1 
938,劫匪枪战,5.1,射击游戏,英文,31℃,2014/4/18,1.1.7,完全免费,N3V Games,2.2以上,499,77,3,0,0,0,1,0,0,31,2,32,988,1,2.2,1,1 
939,100个任务汉化去广告版,5.3,益智休闲,中文,31℃,2012/9/13,1.2.7,完全免费,MPI Games,2.2以上,591,70,1,0,0,1,0,0,0,31,4,51,1570,1,2.2,1,1 
940,照片说话,,益智休闲,英文,31℃,2013/10/1,2.0.7,完全免费,"MotionPortrait, Inc",1.6以上,134,43,2,0,0,0,1,0,0,31,3,38,1187,1,1.6,0,2 
941,密室逃脱,5.1,益智休闲,英文,31℃,2013/8/26,5.0.0,完全免费,989Works,2.2以上,291,6,1,0,0,0,1,0,0,31,3,40,1223,1,2.2,0,5 
942,索尼克CD(含数据包),5.3,冒险解谜,英文,31℃,2012/11/15,1.0.6,完全免费,SEGA世嘉,2.1以上,173,86,14,1,0,0,1,0,0,31,4,49,1507,1,2.1,0,1 
943,2012伦敦奥运会(含数据包),7.4,体育运动,中文,31℃,2012/10/31,1.6.5,完全免费,Neowiz,2.2以上,840,106,4,1,0,1,0,0,0,31,4,50,1522,1,2.2,0,1 
944,中国象棋,,棋牌游戏,中文,31℃,2012/10/12,1.0.7,完全免费,Chessquare,1.5以上,52,2,0,0,0,1,0,0,0,31,4,50,1541,1,1.5,0,1 
945,水晶猎人,,角色扮演,"英文, 韩文",31℃,2012/6/18,1.0.1,完全免费,Com2uS,2.2以上,146,117,21,0,0,0,1,0,1,31,4,54,1657,1,2.2,0,1 
946,太平洋飞虎队完整版,,飞行游戏,英文,31℃,2012/5/23,1.21,完全免费,Kalloc Studios,2.1以上,57,18,3,0,0,0,1,0,0,31,4,55,1683,1,2.1,0,1 
947,王者传奇3,,角色扮演,英文,31℃,2012/5/3,1.0.2,完全免费,GAMEVIL,2.1以上,115,60,22,0,0,0,1,0,0,31,4,55,1703,1,2.1,0,1 
948,CS半条命反恐精英,5,射击游戏,英文,31℃,2012/4/26,1.19,完全免费,Calford,1.5以上,244,29,1,0,0,0,1,0,0,31,4,56,1710,1,1.5,0,1 
949,武装突袭2,,射击游戏,英文,31℃,2012/4/25,1.3.8.2,完全免费,Idea Games,2.2以上,136,63,1,0,0,0,1,0,0,31,4,56,1711,1,2.2,1,1 
950,我的世界完整专业版,8.3,策略塔防,英文,31℃,2012/3/28,3.1,完全免费,PX | Studios,2.1以上,4188,91,1,0,1,0,1,0,0,31,4,57,1739,1,2.1,0,3 
951,坦克大战中文版,5,射击游戏,中文,31℃,2012/3/8,1,完全免费,Noumena Innovations,1.6以上,104,79,2,0,0,1,0,0,0,31,4,57,1759,1,1.6,0,1
952,怪盗鲁邦汉化版,7,角色扮演,中文,31℃,2011/11/25,1.0.1,完全免费,,2.1以上,796,311,0,0,0,1,0,0,0,31,5,61,1863,1,2.1,0,1 
953,3D台球大师,,体育运动,英文,31℃,2011/12/13,1.63,完全免费,Noumena Innovations,1.6以上,47,28,2,0,0,0,1,0,0,31,5,60,1845,1,1.6,0,1 
954,美国僵尸村,5.1,动作游戏,英文,31℃,2011/7/21,1.0.4,完全免费,Mika Mobile,2.0.1以上,201,40,3,0,0,0,1,0,0,31,5,65,1990,1,2.01,0,1 
955,战争的召唤:战争使命修改版,5,飞行游戏,英文,30℃,2016/9/29,1.1.4,完全免费,BOG,2.3以上,258,296,1,0,0,0,1,0,0,30,0,3,93,1,2.3,0,1 
956,史上最坑爹的游戏2,5,益智休闲,中文,30℃,2016/9/23,5.0.06,道具收费,珠海顶峰互动科技有限公司,2.3以上,243,96,2,0,0,1,0,0,0,30,0,3,99,0,2.3,0,5 
957,会说话的约恩狗,,益智休闲,英文,30℃,2016/9/21,5.17.0,完全免费,Kaufcom Games Apps Widgets,2.3以上,43,21,2,0,0,0,1,0,0,30,0,3,101,1,2.3,1,5 
958,玩具熊的五夜后宫,5.8,动作游戏,英文,30℃,2016/9/19,1.84,完全免费,Scottgames,2.3以上,509,458,4,0,0,0,1,0,0,30,0,3,103,1,2.3,0,1 
959,秘密盟会(含数据包),7.4,冒险解谜,"英文, 中文",30℃,2016/9/18,1.21.1,完全免费,G5,4.0.3以上,546,608,13,1,0,1,1,0,0,30,0,3,104,1,4.03,0,1 
960,玩具塔防2修改版(含数据包),7.3,策略塔防,中文,30℃,2015/11/12,2.5,完全免费,Melesta Games,3.0以上,1465,314,2,1,0,1,0,0,0,30,1,13,415,1,3,1,2 
961,我的马(含数据包),7,养成游戏,中文,30℃,2016/9/12,1.26.1,完全免费,NaturalMotionGames Ltd,2.3.3以上,1310,313,3,1,0,1,0,0,0,30,0,3,110,1,2.33,1,1 
962,旋转风暴(含数据包),6.1,竞速游戏,"英文, 中文",30℃,2016/9/8,1.8.57,完全免费,League of Monkeys,4.0.3以上,2366,488,1,1,0,1,1,0,0,30,0,3,114,1,4.03,0,1 
963,马上斗地主,4.8,棋牌游戏,中文,30℃,2016/9/6,2.7.4.0,道具收费,北京联众互动网络股份有限公司,2.2以上,77,49,2,0,0,1,0,0,0,30,0,3,116,0,2.2,0,2 
964,破碎大陆(含数据包),7.8,动作游戏,"英文, 中文",30℃,2016/9/5,3.2.0.23,完全免费,Frogmind,4.0.3以上,1760,2523,1,1,1,1,1,0,0,30,0,3,117,1,4.03,0,3 
965,遗迹探索(含数据包),8.1,冒险解谜,英文,30℃,2016/9/1,0.14.85,完全免费,NEXON,4.0.3以上,4572,2934,2,1,1,0,1,0,0,30,0,3,121,1,4.03,0,0 
966,卡通防御战4修改版(含数据包),7.5,策略塔防,英文,30℃,2014/5/26,1.0.9,完全免费,MolaMola Inc.,2.3.3以上,849,269,1,1,1,0,1,0,0,30,2,31,950,1,2.33,0,1 
967,天方夜谭,8,益智休闲,英文,30℃,2016/8/22,1.2.1,完全免费,Acceleroto,4.0以上,705,562,1,0,1,0,1,0,0,30,0,4,131,1,4,0,1 
968,杀手:狙击之神(含数据包),7.8,射击游戏,中文,30℃,2016/8/19,5.0.2,完全免费,Glu,3.0以上,994,551,38,1,1,1,0,0,0,30,0,4,134,1,3,0,5 
969,音速小子索尼克4:第一章(含数据包),5.3,益智休闲,英文,30℃,2016/8/19,1.5.0,完全免费,SEGA世嘉,2.2以上,238,38,14,1,0,0,1,0,0,30,0,4,134,1,2.2,0,1 
970,潜龙破山修改版,5.7,益智休闲,中文,30℃,2016/4/28,1.2.3,完全免费,Rebel Twins,2.3以上,1049,651,2,0,0,1,0,0,0,30,0,8,247,1,2.3,0,1 
971,滑板派对3修改版(含数据包),5.6,体育运动,"英文, 中文",30℃,2016/8/8,1.0.3,完全免费,Ratrod,4.0以上,677,833,4,1,0,1,1,0,0,30,0,4,145,1,4,0,1 
972,飞爆钻石,8,益智休闲,英文,30℃,2016/7/28,5.2 (52013),完全免费,Wooga,3.0以上,672,30,1,0,1,0,1,0,0,30,0,5,156,1,3,0,5 
973,超级水管工,5,益智休闲,英文,30℃,2016/7/21,2.7.1,完全免费,NER Brothers,3.0以上,61,30,1,0,0,0,1,0,0,30,0,5,163,1,3,0,2 
974,史克比亚,,动作游戏,中文,30℃,2016/6/7,2.5,完全免费,Alawar,2.3以上,335,58,3,0,0,1,0,0,0,30,0,6,207,1,2.3,0,2 
975,恶魔世界修改版(含数据包),5.4,策略塔防,"英文, 中文",30℃,2016/6/1,1.2.1,完全免费,HandyGames,4.0.3以上,1954,694,3,1,0,1,1,0,0,30,0,6,213,1,4.03,1,1 
976,织梦寻空,6.9,益智休闲,英文,30℃,2016/5/24,1.03,完全免费,Hamster On Coke Games,4.0以上,716,1439,1,0,0,0,1,0,0,30,0,7,221,1,4,1,1 
977,最强大脑2,4.7,益智休闲,中文,30℃,2016/5/18,1.21,道具收费,南京光辉互动网络科技股份有限公司,2.3以上,186,77,1,0,0,1,0,0,0,30,0,7,227,0,2.3,0,1 
978,航空大亨3(含数据包),,模拟经营,"英文, 中文, 日文",30℃,2016/5/7,1.3.0,完全免费,TRADEGAME Lab Inc.,2.3.3以上,432,218,1,1,0,1,1,1,0,30,0,7,238,1,2.33,0,1 
979,战斗猴子,5,策略塔防,英文,30℃,2016/4/20,1.4.2,完全免费,Geek Beach Ltd,2.3以上,185,60,1,0,0,0,1,0,0,30,0,8,255,1,2.3,0,1 
980,失落的地球,,策略塔防,"中文, 韩文",30℃,2016/4/20,1.3.8,完全免费,Com2uS,2.2以上,209,74,21,0,0,1,0,0,1,30,0,8,255,1,2.2,0,1 
981,狂飙:快艇天堂修改版(含数据包),6.2,竞速游戏,"英文, 中文",30℃,2016/1/22,1.6.0,完全免费,Ubisoft育碧,4.0以上,3237,1187,10,1,0,1,1,0,0,30,0,11,344,1,4,0,1 
982,唐老鸭历险记:高清重制版(含数据包),5.6,动作游戏,中文,30℃,2016/3/9,1.0.3,完全免费,Disney,5.0以上,2252,1093,5,1,0,1,0,0,0,30,0,9,297,1,5,0,1 
983,卡通战争-枪手,,策略塔防,"英文, 韩文",30℃,2016/2/18,1.1.1,完全免费,GAMEVIL,2.3以上,252,105,22,0,0,0,1,0,1,30,0,10,317,1,2.3,0,1 
984,真三国无双:爆发,7.4,动作游戏,日文,30℃,2016/2/17,1.3.3,完全免费,KOEI TECMO,4.0以上,776,297,3,0,0,0,0,1,0,30,0,10,318,1,4,0,1 
985,死亡效应2(含数据包),7.2,射击游戏,英文,30℃,2015/12/17,151215.0254,完全免费,BadFly Interactive,4.1以上,5529,2946,2,1,0,0,1,0,0,30,1,12,380,1,4.1,0,0
986,机器帝国,6.6,策略塔防,英文,30℃,2015/12/3,2.8.6,完全免费,Hexage,2.3以上,873,108,2,0,0,0,1,0,0,30,1,12,394,1,2.3,0,2 
987,天兵公园:恶作剧大战(含数据包),7.9,动作游戏,中文,30℃,2015/11/18,1.0.6,完全免费,Cartoon Network,2.3.3以上,850,543,3,1,1,1,0,0,0,30,1,13,409,1,2.33,0,1 
988,细胞星球高清完整版,,策略塔防,英文,30℃,2015/11/6,1.51,完全免费,Tubi Games,2.3以上,56,36,1,0,0,0,1,0,0,30,1,13,421,1,2.3,1,1 
989,星球大战:旧共和国武士免验证版(含数据包),8.6,角色扮演,英文,30℃,2015/10/21,1.0.6,完全免费,"Aspyr Media, Inc.",4.1以上,4161,2136,2,1,1,0,1,0,0,30,1,14,437,1,4.1,0,1 
990,指尖篮球2修改版(含数据包),5.1,体育运动,"英文, 中文",30℃,2015/9/30,1.1.7,完全免费,U-Play online,2.3.3以上,1784,289,1,1,0,1,1,0,0,30,1,15,458,1,2.33,0,1 
991,孤岛余生(含数据包),5.9,模拟经营,中文,30℃,2015/9/15,1.3,完全免费,G5,2.3.3以上,292,263,13,1,0,1,0,0,0,30,1,15,473,1,2.33,0,1 
992,丛林大冒险,,模拟经营,英文,30℃,2015/8/21,2.6.9,完全免费,"Kiwi, Inc.",2.2以上,69,61,1,0,0,0,1,0,0,30,1,16,498,1,2.2,0,2 
993,虚拟城市2:天堂度假村完整版(含数据包),5.8,模拟经营,中文,30℃,2013/12/6,1.1,完全免费,G5,2.1以上,211,264,13,1,0,1,0,0,0,30,3,36,1121,1,2.1,0,1 
994,新恶魔猎人,4.9,动作游戏,中文,30℃,2015/6/8,2.2.4,道具收费,合肥华乐互动信息技术有限公司,2.2以上,538,167,1,0,0,1,0,0,0,30,1,18,572,0,2.2,0,2 
995,微观战争2完整版,,益智休闲,英文,30℃,2014/12/22,1.00.1,完全免费,Donut Games,2.3.3以上,130,314,1,0,0,0,1,0,0,30,2,24,740,1,2.33,1,1 
996,反击间谍汉化版(含数据包),6.6,动作游戏,中文,30℃,2015/1/5,1.0.110,完全免费,PlayStation Mobile Inc.,4.0.3以上,2108,1685,1,1,0,1,0,0,0,30,1,23,726,1,4.03,0,1 
997,铁拳拳击(含数据包),,格斗游戏,英文,30℃,2014/12/1,5.0.1,完全免费,realtech VR,2.3以上,342,67,3,1,0,0,1,0,0,30,2,24,761,1,2.3,0,5 
